Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	rate_01	rate_02	rate_03	rate_10	rate_12	rate_13	rate_20	rate_21	rate_23	rate_30	rate_31	rate_32	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]
1250	-5719.76	-5728.57	8.80341	0.126544	0.0447951	0.0762901	0.0157249	-2.06716	-3.10566	-2.57321	-4.15251	-0.884416	-1.90099	-1.63162	-1.4261	0.06150962	0.0140448	0.01504495	0.009539535	0.001352734	0.002579296	2.781126e-06	0.000443878	0.01365431	0.004103956	0.0002500756	0.004575436	0.286666	0.0216124	0.660236	0.0314855	0.412955	0.149421	0.195612	0.240243
1300	-5705.87	-5724.73	18.8603	0.179657	0.0195352	0.0337129	0.0167817	-1.71671	-3.93554	-3.38987	-4.08747	-0.787573	-2.00455	-1.71283	-1.44243	0.06082444	0.008196808	0.01210639	0.01688122	0.001081423	9.586005e-05	9.079914e-08	0.0004709818	0.0001294099	0.002063887	7.943297e-05	0.009144736	0.689408	0.0109658	0.0430844	0.256541	0.454947	0.134721	0.180355	0.236353
1350	-5713.33	-5723.48	10.15	0.0896738	0.0186554	0.0100828	0.00635965	-2.41158	-3.98162	-4.59692	-5.05778	-1.02864	-1.96763	-2.04176	-1.50481	0.05993048	0.008621206	0.01925334	0.002388175	0.0002313632	0.0002380015	1.575682e-05	0.00115342	0.0009141906	0.00298338	9.341271e-05	0.01647183	0.339293	0.346521	0.107035	0.207151	0.357494	0.139788	0.1298	0.22206
1400	-5709.52	-5729.47	19.9499	0.0827879	0.0441945	0.024213	0.0102857	-2.49147	-3.11915	-3.72087	-4.577	-1.0461	-1.88094	-1.55293	-1.53902	0.05326593	0.00883021	0.01325426	0.008078529	0.0005193411	8.750901e-05	1.10532e-05	0.001415789	0.000594723	0.001331069	1.558606e-05	0.01315697	0.413365	0.268401	0.276027	0.0422067	0.351304	0.152446	0.211627	0.214591
1450	-5713.96	-5725.77	11.8049	0.119784	0.0137272	0.0355546	0.0146236	-2.12207	-4.28838	-3.33669	-4.22512	-0.999236	-1.99428	-1.61005	-1.46256	0.05969039	0.01580178	0.01308149	0.004630688	0.0003010564	0.002291161	0.000856564	0.001664228	2.503555e-05	0.002269585	1.34711e-05	0.01529394	0.586243	0.387364	0.0179076	0.00848567	0.368161	0.136112	0.199877	0.231642
1500	-5707.72	-5725.91	18.1962	0.184404	0.0206232	0.0155006	0.0227706	-1.69063	-3.88134	-4.16688	-3.78228	-0.858435	-1.81749	-1.70925	-1.41631	0.05029763	0.01220889	0.01435009	0.01074847	0.0005363407	0.0007002136	0.0002991404	0.0005850501	8.152475e-05	0.00426579	3.955842e-06	0.007808035	0.231983	0.628199	0.120762	0.0190552	0.423825	0.162433	0.181001	0.242607
1550	-5709.31	-5730.12	20.8102	0.150792	0.00886988	0.00592893	0.0179665	-1.89185	-4.72509	-5.12791	-4.01925	-0.963785	-2.0295	-1.74826	-1.42704	0.0489224	0.01235482	0.01298074	0.004338324	0.0004486114	1.052731e-05	7.061501e-05	0.001954394	0.0001713282	0.007120809	4.312824e-08	0.006344448	0.453991	0.204449	0.140062	0.201498	0.381446	0.131401	0.174077	0.240017
1600	-5712.9	-5729.61	16.7143	0.132869	0.00503679	0.0115887	0.01065	-2.01839	-5.29099	-4.45772	-4.54219	-0.925999	-1.90017	-1.83687	-1.44022	0.04581583	0.007814602	0.01083553	0.006906653	0.0003276332	7.138659e-06	0.002587015	0.004935044	4.822857e-05	0.006906076	3.575157e-07	0.01054566	0.317677	0.329403	0.275055	0.0778648	0.396136	0.149543	0.159315	0.236875
1650	-5706.91	-5722.21	15.2965	0.122961	0.0102458	0.0164914	0.006407	-2.09589	-4.58089	-4.10492	-5.05036	-0.958428	-1.82911	-1.95256	-1.551	0.05121755	0.01452575	0.02162648	0.00733012	6.194251e-05	2.158888e-06	0.002315567	0.0002288569	6.014848e-05	0.006293739	2.896145e-08	0.0105786	0.205913	0.0308553	0.051179	0.712052	0.383495	0.160557	0.14191	0.212035
1700	-5706.1	-5727.85	21.7454	0.233719	0.00936282	0.0152484	0.00917437	-1.45363	-4.67101	-4.18328	-4.69134	-0.719506	-1.83909	-1.64177	-1.41856	0.04702036	0.01152406	0.01547532	0.01022089	9.129634e-06	1.182063e-05	0.002277068	0.0004024607	1.281063e-07	0.003513479	5.157968e-05	0.006690028	0.180517	0.509253	0.105262	0.204968	0.486993	0.158962	0.193636	0.242062
